Date,Product Category,Product Name,Region,Sales Revenue (USD),Units Sold,Customer Segment,Customer Type,Market Share (%)
2021-02-24,Data Center,Tesla T4,APAC,1164943.56,1413,Cloud Providers,Business,53.81
2021-02-24,Gaming,Quadro P2200,South America,1045197.85,4302,Educational Institutions,Individual,59.54
2021-02-25,Data Center,RTX 3080,North America,1128266.35,3476,AI Researchers,Individual,43.67
2021-02-25,Data Center,Tesla V100,Europe,1434415.21,1702,Cloud Providers,Business,52.61
2021-02-26,Data Center,RTX 3080,Africa,1355854.6,4605,Educational Institutions,Individual,68.82
2021-02-26,OEM,Quadro P2200,Europe,681133.92,758,Gamers,Individual,67.06
2021-02-26,Gaming,RTX 3080,North America,331633.63,4991,AI Researchers,Business,49.63
2021-02-27,Gaming,Quadro P2200,North America,1289669.39,4637,Educational Institutions,Individual,65.6
2021-02-27,Data Center,Quadro P2200,South America,1536206.57,4963,Educational Institutions,Individual,68.39
2021-02-28,Gaming,RTX 4090,South America,1270632.15,1096,Cloud Providers,Business,37.94
2021-03-01,Gaming,Tesla T4,Africa,788192.27,4079,Educational Institutions,Individual,51.03
2021-03-01,OEM,Tesla V100,North America,883651.56,242,AI Researchers,Business,50.78
2021-03-01,OEM,Quadro P2200,North America,977463.28,1025,Educational Institutions,Individual,35.26
2021-03-01,Data Center,Tesla T4,Middle East,1112518.15,413,AI Researchers,Individual,59.44
2021-03-02,Data Center,Tesla T4,North America,1560676.69,4321,Gamers,Individual,30.37
2021-03-02,Gaming,Quadro P2200,APAC,1736325.41,1365,Cloud Providers,Individual,33.56
2021-03-02,OEM,RTX 4090,Middle East,1116475.22,2423,Educational Institutions,Individual,46.35
2021-03-02,AI,Quadro P2200,APAC,335742.72,3741,Cloud Providers,Business,66.26
2021-03-02,Gaming,Tesla T4,North America,1957870.76,1746,Gamers,Individual,53.29
2021-03-02,Data Center,Quadro P2200,APAC,90041.56,4055,Gamers,Individual,31.77
2021-03-03,Gaming,Tesla T4,South America,1337506.42,3358,Educational Institutions,Business,59.01
2021-03-03,OEM,Quadro P2200,Europe,1323882.17,1165,Educational Institutions,Business,50.93
2021-03-03,AI,RTX 4090,Middle East,1622230.86,2381,Cloud Providers,Business,44.71
2021-03-04,OEM,Tesla V100,APAC,1052481.7,1252,Cloud Providers,Business,57.87
2021-03-04,AI,Tesla V100,North America,1674485.5,3163,Gamers,Individual,47.59
2021-03-04,OEM,Tesla V100,North America,1994290.29,1604,Cloud Providers,Individual,30.4
2021-03-05,AI,Quadro P2200,North America,1051177.05,1881,AI Researchers,Business,58.01
2021-03-05,Data Center,Tesla V100,Africa,733498.21,3326,Cloud Providers,Individual,55.47
2021-03-05,AI,Tesla V100,Middle East,1939702.2,1507,AI Researchers,Individual,56.54
2021-03-05,Data Center,Tesla T4,Middle East,1501857.16,293,Gamers,Business,59.52
2021-03-06,Data Center,Tesla V100,Africa,868043.05,4836,AI Researchers,Business,48.12
2021-03-06,Data Center,RTX 3080,North America,1578455.73,2480,Gamers,Individual,54.87
2021-03-06,Gaming,Quadro P2200,APAC,998644.3,1426,Cloud Providers,Business,62.9
2021-03-06,Data Center,RTX 3080,Middle East,529694.78,1161,AI Researchers,Individual,64.24
2021-03-07,Gaming,RTX 4090,Europe,973556.66,1394,Educational Institutions,Individual,62.17
2021-03-07,AI,Tesla T4,South America,1252741.4,1367,Educational Institutions,Business,56.24
2021-03-07,OEM,RTX 3080,Europe,1558271.67,2448,AI Researchers,Individual,36.44
2021-03-07,AI,Tesla V100,South America,117429.45,618,AI Researchers,Business,66.27
2021-03-09,OEM,Quadro P2200,APAC,279392.56,2675,Cloud Providers,Business,63.84
2021-03-09,AI,Tesla T4,Europe,277009.53,147,AI Researchers,Individual,35.4
2021-03-09,Data Center,Tesla T4,Africa,1213085.26,4886,AI Researchers,Individual,64.16
2021-03-09,Gaming,Tesla T4,APAC,467488.28,2009,Gamers,Individual,35.28
2021-03-09,AI,Tesla V100,Europe,884252.57,2623,Gamers,Business,59.26
2021-03-09,Data Center,RTX 4090,North America,937365.98,2813,AI Researchers,Individual,53.36
2021-03-09,AI,Tesla V100,APAC,983048.18,3919,Cloud Providers,Business,61.93
2021-03-10,Data Center,Tesla T4,Europe,270354.51,305,AI Researchers,Business,60.71
2021-03-10,OEM,Tesla V100,Europe,1798769.08,3491,Educational Institutions,Individual,66.52
2021-03-11,AI,RTX 4090,South America,371374.47,2471,Cloud Providers,Individual,41.26
2021-03-11,Data Center,Quadro P2200,Africa,1738655.6,402,Educational Institutions,Business,54.62
2021-03-12,Gaming,Tesla V100,North America,1762887.9,3446,AI Researchers,Individual,40.96
2021-03-12,AI,Quadro P2200,Middle East,1978734.61,374,AI Researchers,Business,56.73
2021-03-13,Data Center,Tesla T4,Africa,1252779.76,3778,Educational Institutions,Business,41.9
2021-03-13,Gaming,Tesla T4,Europe,1830646.77,3515,Gamers,Individual,64.34
2021-03-13,Data Center,Tesla V100,APAC,111786.69,4962,Cloud Providers,Individual,38.48
2021-03-13,OEM,RTX 3080,Middle East,178765.82,4863,AI Researchers,Business,62.62
2021-03-14,OEM,RTX 3080,Europe,1023637.54,2135,Cloud Providers,Business,38.08
2021-03-14,Data Center,Quadro P2200,Middle East,566274.46,3914,Cloud Providers,Business,68.79
2021-03-14,OEM,Quadro P2200,North America,1191008.62,3698,Gamers,Business,50.87
2021-03-14,AI,Tesla V100,Middle East,1219385.47,4943,Gamers,Business,37.51
2021-03-14,AI,Tesla T4,Middle East,1395114.48,3320,Gamers,Business,39.31
2021-03-14,Data Center,Tesla T4,APAC,175707.85,2313,Educational Institutions,Individual,31.59
2021-03-15,OEM,RTX 3080,Africa,1562076.78,2980,AI Researchers,Individual,45.08
2021-03-15,OEM,Tesla T4,APAC,248240.84,766,Gamers,Individual,50.77
2021-03-15,Gaming,RTX 4090,Middle East,832299.21,1594,Educational Institutions,Individual,60.67
2021-03-16,Gaming,RTX 4090,Africa,1882526.0,3876,AI Researchers,Individual,42.59
2021-03-16,AI,Tesla T4,Europe,1798900.43,4765,Educational Institutions,Business,46.38
2021-03-16,Gaming,Quadro P2200,APAC,1342754.29,1317,Gamers,Individual,62.48
2021-03-17,AI,RTX 4090,South America,1500236.67,2105,Cloud Providers,Individual,33.62
2021-03-17,AI,RTX 3080,South America,1949570.1,2101,Gamers,Individual,32.91
2021-03-18,Data Center,RTX 4090,APAC,826738.08,2153,AI Researchers,Individual,69.56
2021-03-18,Gaming,Tesla V100,Middle East,1115422.96,4558,Gamers,Business,30.27
2021-03-18,OEM,RTX 4090,APAC,1020900.37,2227,Educational Institutions,Business,37.19
2021-03-19,OEM,Quadro P2200,North America,1512245.98,261,Cloud Providers,Individual,51.79
2021-03-19,Gaming,Quadro P2200,North America,1217361.72,876,Gamers,Business,54.65
2021-03-19,Gaming,RTX 3080,South America,1189145.1,1759,Gamers,Business,47.87
2021-03-19,OEM,Tesla V100,Europe,1565234.97,1791,Gamers,Business,58.45
2021-03-19,Gaming,RTX 3080,South America,1585025.86,2216,Educational Institutions,Individual,37.2
2021-03-20,AI,Tesla T4,South America,1723524.93,4905,Educational Institutions,Business,63.18
2021-03-20,OEM,Quadro P2200,South America,947036.3,3419,Cloud Providers,Business,65.09
2021-03-20,Data Center,RTX 3080,Africa,1739111.51,4303,AI Researchers,Individual,31.89
2021-03-20,Gaming,RTX 4090,Middle East,266074.79,935,Cloud Providers,Individual,34.71
2021-03-20,OEM,Quadro P2200,Africa,1282224.93,4971,Educational Institutions,Individual,67.35
2021-03-21,AI,Tesla T4,North America,1794546.46,2314,AI Researchers,Individual,36.83
2021-03-21,AI,Tesla V100,South America,1065792.95,4057,AI Researchers,Individual,40.11
2021-03-21,Gaming,Quadro P2200,Middle East,682983.81,4924,Educational Institutions,Individual,46.99
2021-03-21,Gaming,Tesla V100,APAC,217103.26,1572,Gamers,Individual,53.5
2021-03-21,OEM,Tesla V100,Africa,1105541.31,4665,AI Researchers,Individual,68.05
2021-03-21,Data Center,Tesla V100,Europe,145780.28,304,AI Researchers,Individual,36.01
2021-03-22,Gaming,Tesla T4,Europe,260601.18,114,Educational Institutions,Individual,55.51
2021-03-22,OEM,Quadro P2200,Africa,1223150.24,2416,Gamers,Individual,33.95
2021-03-23,Data Center,Tesla T4,APAC,303406.49,3131,Cloud Providers,Business,55.68
2021-03-23,AI,Tesla V100,North America,1975258.84,1260,Cloud Providers,Individual,56.36
2021-03-24,OEM,Tesla T4,Middle East,1727909.15,3734,Gamers,Individual,67.73
2021-03-24,OEM,Tesla T4,South America,1266653.96,2089,Educational Institutions,Business,39.37
2021-03-24,Data Center,Tesla V100,South America,1002219.07,4234,Educational Institutions,Business,31.9
2021-03-25,AI,Tesla V100,South America,767977.98,1210,Educational Institutions,Business,68.45
2021-03-25,Gaming,RTX 3080,Europe,160191.29,562,AI Researchers,Individual,36.88
2021-03-25,Gaming,Tesla T4,South America,1589796.81,623,Educational Institutions,Individual,67.72
2021-03-26,AI,Tesla V100,Europe,1406500.27,4036,Educational Institutions,Individual,33.71
2021-03-26,Data Center,RTX 4090,Europe,992438.5,4765,AI Researchers,Individual,30.24
2021-03-26,AI,Quadro P2200,Middle East,117847.39,1191,Cloud Providers,Individual,67.23
2021-03-26,AI,RTX 4090,APAC,1550350.48,4538,AI Researchers,Individual,56.79
2021-03-26,Gaming,RTX 4090,Africa,616106.88,3510,AI Researchers,Business,33.17
2021-03-26,Data Center,Tesla T4,North America,1574314.72,1327,Cloud Providers,Individual,34.03
2021-03-27,Gaming,RTX 3080,APAC,657004.23,2583,Gamers,Individual,46.18
2021-03-28,OEM,RTX 3080,APAC,1359483.55,3591,AI Researchers,Business,64.44
2021-03-29,Gaming,Tesla T4,South America,1029383.82,335,Cloud Providers,Business,38.09
2021-03-29,Data Center,Tesla T4,North America,1092112.62,1903,Gamers,Individual,62.29
2021-03-29,AI,RTX 4090,North America,1581839.87,2953,Cloud Providers,Individual,49.07
2021-03-29,AI,RTX 3080,Europe,1008985.55,3139,Cloud Providers,Business,39.65
2021-03-29,OEM,Tesla T4,North America,1908050.35,3216,Educational Institutions,Individual,33.53
2021-03-29,Data Center,RTX 4090,South America,906545.92,1905,AI Researchers,Business,52.72
2021-03-29,OEM,Tesla T4,Middle East,1349487.48,4311,Gamers,Individual,62.69
2021-03-29,OEM,Quadro P2200,South America,989440.94,2292,Cloud Providers,Individual,39.1
2021-03-30,OEM,Quadro P2200,APAC,1676783.81,569,Gamers,Business,55.59
2021-03-30,AI,RTX 4090,South America,1530961.41,2022,Educational Institutions,Individual,32.04
2021-03-30,OEM,Quadro P2200,APAC,157698.35,451,Cloud Providers,Individual,47.87
2021-03-30,OEM,Tesla T4,Europe,294506.67,3679,Gamers,Individual,42.65
2021-03-30,Data Center,RTX 4090,Europe,1433249.07,4034,Cloud Providers,Individual,64.52
2021-03-31,AI,RTX 4090,Middle East,1376022.43,4742,Educational Institutions,Individual,39.1
2021-03-31,Data Center,RTX 3080,North America,637375.99,2265,Gamers,Individual,58.58
2021-03-31,Gaming,Tesla T4,Africa,897327.76,1533,Cloud Providers,Business,41.72
2021-03-31,Data Center,Tesla V100,Middle East,713351.37,4600,Cloud Providers,Individual,35.15
2021-03-31,OEM,RTX 4090,Africa,1466031.12,2740,Gamers,Business,41.18
2021-04-01,Data Center,RTX 3080,Europe,1689648.44,1659,AI Researchers,Individual,32.49
2021-04-02,OEM,Quadro P2200,South America,1089462.11,2053,AI Researchers,Individual,37.28
2021-04-02,Gaming,Tesla V100,North America,1284654.78,2263,Cloud Providers,Individual,31.24
2021-04-02,AI,RTX 3080,APAC,1535286.8,1226,Cloud Providers,Business,48.75
2021-04-02,OEM,Tesla V100,Middle East,1371547.0,4849,AI Researchers,Individual,35.31
2021-04-03,OEM,Quadro P2200,South America,895214.62,1737,Gamers,Business,32.9
2021-04-03,Gaming,RTX 4090,North America,336216.25,2070,AI Researchers,Business,69.81
2021-04-03,AI,RTX 3080,South America,1960165.64,959,Cloud Providers,Business,32.38
2021-04-03,Gaming,Quadro P2200,Middle East,1277500.36,3964,AI Researchers,Business,45.21
2021-04-03,AI,Tesla T4,APAC,1469561.17,2498,Cloud Providers,Business,66.26
2021-04-03,OEM,Tesla T4,Middle East,1780468.06,2660,Educational Institutions,Individual,41.05
2021-04-03,OEM,Tesla T4,Europe,1770891.64,3589,Cloud Providers,Business,54.39
2021-04-03,Gaming,Quadro P2200,North America,519763.59,2260,Educational Institutions,Business,33.06
2021-04-04,AI,Tesla T4,North America,1603096.69,2759,Educational Institutions,Business,57.27
2021-04-04,OEM,Quadro P2200,Africa,1137535.63,2288,Cloud Providers,Individual,45.75
2021-04-05,Data Center,Tesla T4,South America,907758.97,4501,Cloud Providers,Individual,69.7
2021-04-05,Data Center,Tesla V100,South America,1428102.26,2132,AI Researchers,Individual,59.05
2021-04-05,Data Center,Tesla T4,Middle East,1560193.32,1979,Educational Institutions,Business,50.23
2021-04-06,Data Center,Tesla T4,North America,1027101.53,4284,Educational Institutions,Individual,52.66
2021-04-06,OEM,Tesla V100,Africa,1173778.84,720,AI Researchers,Individual,55.99
2021-04-06,AI,Quadro P2200,Middle East,1435624.75,2859,Educational Institutions,Individual,68.8
2021-04-07,AI,Tesla V100,Europe,1717071.58,849,AI Researchers,Business,50.38
2021-04-07,OEM,Tesla T4,Europe,226252.91,908,AI Researchers,Business,50.32
2021-04-07,OEM,Tesla V100,Middle East,220192.77,3561,AI Researchers,Individual,43.6
2021-04-07,OEM,Tesla V100,North America,358654.51,4258,Cloud Providers,Business,60.9
2021-04-08,AI,Tesla T4,Europe,841128.47,4342,Educational Institutions,Individual,51.91
2021-04-08,Gaming,Tesla T4,Middle East,61655.91,1092,Cloud Providers,Individual,43.81
2021-04-09,AI,Tesla T4,Europe,1487060.79,4967,AI Researchers,Business,42.91
2021-04-09,Gaming,RTX 3080,South America,1289364.54,4412,Cloud Providers,Individual,54.28
2021-04-10,Data Center,RTX 3080,Europe,1217292.91,2912,Cloud Providers,Individual,42.37
2021-04-11,Gaming,Quadro P2200,APAC,440887.06,2012,AI Researchers,Business,54.66
2021-04-11,Data Center,Tesla T4,Africa,1899881.27,1418,Educational Institutions,Individual,37.18
2021-04-11,Gaming,Tesla V100,Europe,228805.66,3753,Educational Institutions,Individual,30.65
2021-04-12,OEM,Tesla T4,Africa,555137.13,2663,Educational Institutions,Individual,30.91
2021-04-12,OEM,RTX 3080,Europe,117460.18,841,Gamers,Business,61.78
2021-04-12,Data Center,RTX 4090,APAC,1665783.0,4889,Educational Institutions,Individual,62.22
2021-04-12,OEM,Tesla T4,APAC,338393.13,2333,Gamers,Business,37.85
2021-04-12,AI,RTX 3080,Europe,1861068.06,3448,AI Researchers,Individual,41.14
2021-04-13,OEM,Tesla T4,Middle East,112718.2,4323,Gamers,Business,60.27
2021-04-13,AI,RTX 4090,Europe,785278.96,435,Cloud Providers,Individual,60.06
2021-04-13,AI,RTX 3080,Middle East,1503193.13,2075,Educational Institutions,Individual,59.29
2021-04-13,Data Center,RTX 4090,APAC,1770265.82,3841,AI Researchers,Individual,45.73
2021-04-15,OEM,Tesla V100,Europe,872209.27,3922,Cloud Providers,Business,34.98
2021-04-15,AI,Tesla T4,Africa,1301498.29,4211,AI Researchers,Individual,56.38
2021-04-15,OEM,RTX 3080,South America,875216.21,4874,Educational Institutions,Individual,68.9
2021-04-16,Gaming,Quadro P2200,South America,1556379.3,1622,Gamers,Business,46.44
2021-04-16,AI,Quadro P2200,Europe,1883057.21,2736,Educational Institutions,Individual,61.6
2021-04-16,OEM,Tesla T4,South America,1506292.04,3157,Educational Institutions,Individual,64.85
2021-04-16,AI,Quadro P2200,APAC,1926615.06,4466,Cloud Providers,Individual,59.75
2021-04-17,OEM,RTX 3080,APAC,1745872.57,4926,Educational Institutions,Individual,34.28
2021-04-17,Gaming,Tesla V100,South America,945280.4,523,Cloud Providers,Business,61.31
2021-04-17,AI,Quadro P2200,South America,592900.71,836,AI Researchers,Individual,35.22
2021-04-17,OEM,Tesla V100,Europe,410457.06,3987,Gamers,Business,67.79
2021-04-17,AI,RTX 3080,Africa,313362.05,3929,AI Researchers,Business,40.28
2021-04-17,Data Center,Quadro P2200,Europe,984735.35,4628,AI Researchers,Business,32.13
2021-04-17,AI,RTX 3080,North America,1117230.38,2675,Educational Institutions,Business,56.34
2021-04-17,OEM,Quadro P2200,Africa,538917.56,1307,AI Researchers,Individual,35.46
2021-04-17,AI,Tesla T4,South America,108687.17,2043,Educational Institutions,Individual,40.68
2021-04-18,AI,Tesla T4,North America,433488.49,922,AI Researchers,Individual,50.09
2021-04-18,OEM,RTX 4090,North America,846509.31,2030,AI Researchers,Individual,52.25
2021-04-18,AI,Quadro P2200,Middle East,182200.86,3355,Educational Institutions,Individual,43.51
2021-04-18,AI,Tesla T4,Europe,1443029.36,2251,Cloud Providers,Individual,65.47
2021-04-19,OEM,RTX 4090,Middle East,1955379.78,1639,AI Researchers,Individual,41.53
2021-04-19,AI,Tesla V100,South America,420793.06,419,AI Researchers,Individual,39.95
2021-04-19,AI,Tesla T4,APAC,1435172.35,3857,Gamers,Business,48.75
2021-04-19,Data Center,RTX 3080,APAC,286209.14,3894,Gamers,Business,50.93
2021-04-20,Data Center,RTX 4090,Europe,1246590.16,294,Gamers,Business,52.82
2021-04-20,Data Center,Quadro P2200,Middle East,1814464.38,949,Educational Institutions,Business,32.51
2021-04-20,Data Center,Tesla V100,North America,139114.48,1008,Cloud Providers,Business,44.22
2021-04-20,Data Center,Tesla T4,Middle East,1450582.45,2791,Gamers,Business,63.99
2021-04-20,Data Center,RTX 4090,Europe,1095281.75,363,Educational Institutions,Individual,61.04
2021-04-21,AI,Tesla V100,Middle East,1940868.55,3822,AI Researchers,Individual,30.66
2021-04-21,Gaming,Quadro P2200,APAC,1277004.53,3423,AI Researchers,Business,60.5
2021-04-21,OEM,RTX 3080,South America,1242027.01,2266,Gamers,Individual,54.78
2021-04-22,AI,RTX 4090,Africa,1841919.45,3782,Educational Institutions,Individual,69.93
2021-04-22,OEM,RTX 3080,North America,798562.27,3077,AI Researchers,Business,59.02
2021-04-22,Gaming,Quadro P2200,Middle East,1628116.36,3099,Cloud Providers,Business,35.83
2021-04-23,Data Center,Quadro P2200,Middle East,1383920.34,968,AI Researchers,Business,63.58
2021-04-23,Gaming,Tesla T4,North America,249616.85,1202,Gamers,Business,39.42
2021-04-23,OEM,Tesla T4,South America,397776.69,392,Educational Institutions,Individual,52.76
2021-04-23,AI,Tesla V100,Europe,512492.26,4013,Cloud Providers,Business,50.29
2021-04-24,Gaming,RTX 3080,Africa,1833010.19,1061,Educational Institutions,Individual,47.02
2021-04-24,AI,RTX 3080,North America,1093828.16,2317,Educational Institutions,Business,69.16
2021-04-24,Data Center,Quadro P2200,Africa,648370.72,4689,Educational Institutions,Individual,57.63
2021-04-25,OEM,Quadro P2200,South America,1855636.18,4943,Cloud Providers,Individual,61.19
2021-04-25,OEM,RTX 4090,South America,159221.14,533,AI Researchers,Business,41.9
2021-04-25,Data Center,RTX 3080,APAC,843006.09,4427,Educational Institutions,Business,36.27
2021-04-25,AI,RTX 4090,Europe,323914.21,363,Cloud Providers,Business,52.46
2021-04-25,AI,Tesla V100,North America,1456832.91,4923,AI Researchers,Business,39.29
2021-04-25,OEM,Tesla T4,South America,1915778.89,2388,Gamers,Individual,46.21
2021-04-25,Data Center,RTX 3080,Africa,1983633.85,1077,AI Researchers,Individual,55.63
2021-04-26,OEM,Tesla V100,Middle East,356739.83,392,Cloud Providers,Business,65.69
2021-04-26,OEM,Quadro P2200,Africa,952966.42,1198,Cloud Providers,Business,55.45
2021-04-27,OEM,Quadro P2200,Middle East,1048452.29,2029,AI Researchers,Individual,50.77
2021-04-27,AI,RTX 3080,North America,545979.42,3865,Cloud Providers,Individual,39.05
2021-04-28,OEM,Quadro P2200,North America,1860228.0,792,AI Researchers,Individual,43.38
2021-04-28,OEM,Tesla V100,Africa,1013494.09,294,Educational Institutions,Individual,51.55
2021-04-28,AI,Tesla V100,Africa,1114690.9,3752,AI Researchers,Individual,53.91
2021-04-28,Gaming,RTX 4090,Africa,1039664.67,195,AI Researchers,Business,64.25
2021-04-29,Gaming,Quadro P2200,Africa,1606670.44,4877,Educational Institutions,Business,66.22
2021-04-29,Data Center,RTX 4090,Africa,1315276.7,2659,AI Researchers,Individual,67.6
2021-04-29,Gaming,RTX 3080,APAC,1656206.76,4292,Gamers,Individual,42.48
2021-04-30,OEM,RTX 3080,Europe,1231058.04,402,AI Researchers,Individual,52.33
2021-04-30,Data Center,Tesla V100,Middle East,255162.31,2827,AI Researchers,Individual,57.62
2021-04-30,Data Center,RTX 3080,APAC,908154.81,577,Gamers,Business,53.26
2021-04-30,Data Center,RTX 3080,North America,1572255.31,1226,Educational Institutions,Individual,35.22
2021-05-01,AI,Tesla T4,South America,954755.63,204,AI Researchers,Individual,67.26
2021-05-01,Gaming,Tesla V100,South America,1756489.72,338,Gamers,Business,37.95
2021-05-02,AI,RTX 3080,Africa,1058346.41,2804,Gamers,Individual,31.71
2021-05-02,Data Center,Tesla T4,Africa,910695.99,2736,Gamers,Business,40.53
2021-05-02,Gaming,RTX 4090,Middle East,1417890.93,2570,Educational Institutions,Individual,35.07
2021-05-02,AI,Tesla V100,South America,1942610.03,3015,Cloud Providers,Business,51.43
2021-05-03,Data Center,Tesla T4,South America,1810499.32,4212,Gamers,Business,61.3
2021-05-04,Gaming,Tesla V100,South America,1634043.32,3093,AI Researchers,Individual,64.87
2021-05-04,Gaming,Tesla V100,Europe,768002.27,3686,AI Researchers,Individual,42.39
2021-05-04,Data Center,Tesla T4,Middle East,961654.17,2887,Cloud Providers,Individual,35.95
2021-05-04,Data Center,RTX 4090,Africa,1471156.69,190,Educational Institutions,Individual,34.67
2021-05-05,AI,Quadro P2200,South America,590453.83,1407,AI Researchers,Business,40.71
2021-05-05,Gaming,RTX 3080,Middle East,712439.32,2418,Gamers,Individual,56.95
2021-05-06,Gaming,Tesla V100,South America,1668321.3,4991,Educational Institutions,Individual,65.86
2021-05-06,OEM,RTX 3080,South America,556435.63,3204,Educational Institutions,Individual,44.29
2021-05-06,Gaming,Quadro P2200,South America,687263.71,1306,Cloud Providers,Business,56.39
2021-05-06,Gaming,Tesla T4,Middle East,1375751.08,3557,Cloud Providers,Individual,48.79
2021-05-06,Gaming,RTX 3080,North America,631824.9,1345,Gamers,Business,64.5
2021-05-06,OEM,RTX 3080,Middle East,1724354.25,2518,Educational Institutions,Individual,57.92
2021-05-06,Gaming,Tesla T4,South America,1190196.71,1757,Educational Institutions,Business,66.2
2021-05-06,OEM,Tesla V100,Middle East,299792.59,1175,AI Researchers,Business,31.73
2021-05-07,AI,RTX 4090,Europe,1061997.6,3555,Cloud Providers,Individual,69.4
2021-05-07,OEM,RTX 3080,APAC,1239397.35,1953,Gamers,Business,46.07
2021-05-07,AI,Tesla T4,Europe,1592994.11,4162,Educational Institutions,Business,64.6
2021-05-08,AI,RTX 4090,Middle East,385620.19,3562,AI Researchers,Individual,44.1
2021-05-08,OEM,Quadro P2200,Africa,280117.22,2350,Educational Institutions,Individual,62.32
2021-05-08,Gaming,RTX 3080,Europe,385864.51,3700,Educational Institutions,Business,53.92
2021-05-08,AI,Tesla T4,Middle East,333059.26,3002,AI Researchers,Individual,49.12
2021-05-09,AI,RTX 4090,APAC,1850596.88,2839,Cloud Providers,Business,38.43
2021-05-09,Gaming,Quadro P2200,Europe,1431282.87,457,AI Researchers,Business,64.55
2021-05-10,Data Center,Quadro P2200,Africa,1316175.83,2950,Gamers,Business,47.24
2021-05-10,Gaming,Quadro P2200,APAC,717576.62,346,Gamers,Individual,57.63
2021-05-11,AI,Tesla V100,Middle East,1834098.45,4386,Cloud Providers,Business,30.99
2021-05-11,AI,RTX 4090,Africa,810019.94,4000,Gamers,Individual,47.65
2021-05-11,OEM,Tesla T4,South America,601632.52,4705,Gamers,Business,45.63
2021-05-11,AI,Tesla V100,Middle East,1858330.76,718,Cloud Providers,Individual,49.18
2021-05-12,OEM,Tesla T4,APAC,1387517.27,569,Cloud Providers,Individual,60.87
2021-05-12,Data Center,RTX 3080,Europe,344962.05,1370,Educational Institutions,Business,42.14
2021-05-13,Data Center,RTX 4090,South America,796358.15,940,Cloud Providers,Individual,54.89
2021-05-13,AI,RTX 3080,North America,255743.52,1796,Educational Institutions,Individual,39.85
2021-05-13,Gaming,Tesla V100,Middle East,76582.43,3531,Educational Institutions,Individual,46.7
2021-05-13,Data Center,Tesla V100,South America,1664150.03,3828,Educational Institutions,Individual,31.79
2021-05-14,AI,RTX 4090,Middle East,1641179.32,2148,Educational Institutions,Business,50.47
2021-05-15,AI,RTX 4090,Middle East,1847192.9,3386,Gamers,Business,32.67
2021-05-15,AI,RTX 3080,Europe,1255578.64,4933,Gamers,Individual,32.35
2021-05-15,Gaming,Tesla T4,North America,702257.37,874,Educational Institutions,Business,30.69
2021-05-15,Data Center,Tesla V100,APAC,981956.29,1240,Educational Institutions,Individual,38.53
2021-05-15,Data Center,RTX 4090,North America,917292.85,4911,Cloud Providers,Business,69.78
2021-05-15,AI,RTX 3080,Africa,145086.88,1403,AI Researchers,Business,43.46
2021-05-15,OEM,Tesla T4,Middle East,842229.13,1267,Gamers,Individual,62.0
2021-05-16,Data Center,Tesla T4,Europe,1012383.07,2013,Gamers,Individual,65.65
2021-05-16,AI,RTX 4090,APAC,1638786.28,4654,Cloud Providers,Individual,63.15
2021-05-16,Data Center,Quadro P2200,South America,1776248.14,4813,Educational Institutions,Individual,43.62
2021-05-16,AI,Tesla T4,South America,401748.41,1533,AI Researchers,Business,64.62
2021-05-17,AI,Tesla V100,Africa,785855.9,3447,Educational Institutions,Individual,33.19
2021-05-17,Gaming,Tesla T4,Europe,451813.07,916,Gamers,Individual,60.37
2021-05-17,AI,Tesla V100,Africa,1314015.63,4721,Cloud Providers,Business,53.44
2021-05-18,OEM,RTX 3080,North America,1046174.64,4724,AI Researchers,Individual,59.8
2021-05-18,Data Center,Tesla V100,Middle East,1775483.77,4460,Gamers,Individual,64.91
2021-05-18,Gaming,Quadro P2200,Europe,1248900.78,3133,Cloud Providers,Business,48.36
2021-05-18,AI,Tesla V100,North America,212122.56,798,Cloud Providers,Business,46.11
2021-05-18,Data Center,RTX 3080,APAC,1950402.4,726,AI Researchers,Business,37.14
2021-05-19,AI,RTX 3080,APAC,1988145.43,1440,Gamers,Business,44.76
2021-05-19,AI,Tesla T4,Middle East,1775091.82,4655,Educational Institutions,Individual,68.55
2021-05-20,Data Center,Tesla T4,Europe,1428160.58,2717,Gamers,Business,57.06
2021-05-20,OEM,RTX 4090,Europe,1523079.68,4341,AI Researchers,Business,57.4
2021-05-20,Data Center,Tesla T4,Middle East,1233622.13,2730,Cloud Providers,Business,31.98
2021-05-20,Data Center,RTX 4090,North America,1321425.77,1149,Cloud Providers,Individual,37.63
2021-05-20,OEM,RTX 4090,North America,1616237.62,4224,AI Researchers,Individual,64.03
2021-05-22,Data Center,Tesla T4,South America,1745188.07,1498,Cloud Providers,Business,66.63
2021-05-22,Data Center,RTX 3080,APAC,1562725.97,4923,AI Researchers,Individual,50.81
2021-05-22,OEM,Quadro P2200,Middle East,850121.19,4437,Gamers,Individual,59.33
2021-05-23,AI,RTX 4090,North America,1692854.69,2622,Gamers,Individual,68.58
2021-05-23,Data Center,Tesla T4,Europe,1214329.99,4409,AI Researchers,Individual,47.95
2021-05-23,Data Center,Tesla V100,Middle East,1687441.91,4752,Educational Institutions,Individual,61.87
2021-05-23,OEM,RTX 3080,Africa,960487.12,1010,Educational Institutions,Individual,63.92
2021-05-24,OEM,Quadro P2200,South America,1579192.86,3883,Educational Institutions,Individual,57.6
